job,default,cons.price.idx,cons.conf.idx,euribor3m,y
10.0,0.0,93.918,-42.7,4.959,0
2.0,0.0,94.465,-41.8,4.864,0
2.0,0.0,93.444,-36.1,4.963,0
2.0,0.0,93.994,-36.4,4.86,0
3.0,1.0,92.893,-46.2,1.291,0
10.0,1.0,92.893,-46.2,1.354,0
1.0,0.0,93.994,-36.4,4.857,0
3.0,0.0,93.994,-36.4,4.857,0
3.0,0.0,93.918,-42.7,4.962,0
7.0,1.0,92.843,-50.0,1.538,0
6.0,0.0,93.444,-36.1,4.963,0
3.0,1.0,94.465,-41.8,4.864,0
1.0,0.0,93.994,-36.4,4.859,0
11.0,0.0,94.027,-38.3,0.899,1
8.0,0.0,93.075,-47.1,1.405,0
2.0,0.0,93.369,-34.8,0.654,0
11.0,0.0,92.431,-26.9,0.73,1
1.0,0.0,93.918,-42.7,4.962,0
2.0,0.0,93.918,-42.7,4.968,0
1.0,0.0,93.994,-36.4,4.856,0
6.0,0.0,92.893,-46.2,1.27,0
2.0,0.0,94.465,-41.8,4.866,0
6.0,1.0,93.918,-42.7,4.961,0
5.0,0.0,93.918,-42.7,4.961,0
2.0,0.0,93.444,-36.1,4.963,0
2.0,0.0,94.767,-50.8,1.028,1
1.0,0.0,93.994,-36.4,4.857,0
3.0,0.0,92.893,-46.2,1.313,0
2.0,0.0,92.201,-31.4,0.884,1
3.0,0.0,92.201,-31.4,0.883,0
3.0,0.0,93.2,-42.0,4.12,0
4.0,0.0,93.075,-47.1,1.365,1
5.0,0.0,92.843,-50.0,1.663,0
1.0,0.0,93.918,-42.7,4.96,0
3.0,0.0,92.893,-46.2,1.266,1
2.0,0.0,92.893,-46.2,1.244,0
1.0,1.0,94.465,-41.8,4.866,0
3.0,0.0,92.893,-46.2,1.334,0
1.0,0.0,93.994,-36.4,4.855,0
4.0,0.0,92.893,-46.2,1.25,0
6.0,0.0,93.994,-36.4,4.859,0
2.0,0.0,92.843,-50.0,1.531,0
5.0,0.0,93.2,-42.0,4.076,0
1.0,0.0,93.2,-42.0,4.153,0
1.0,0.0,94.465,-41.8,4.959,0
2.0,1.0,93.918,-42.7,4.963,0
3.0,1.0,93.994,-36.4,4.86,0
3.0,0.0,94.465,-41.8,4.865,0
3.0,0.0,94.465,-41.8,4.967,0
1.0,0.0,93.918,-42.7,4.963,0
4.0,0.0,93.444,-36.1,4.966,0
3.0,0.0,94.465,-41.8,4.864,0
5.0,0.0,94.027,-38.3,0.898,1
8.0,0.0,93.994,-36.4,4.858,0
4.0,0.0,93.444,-36.1,4.964,0
2.0,0.0,92.963,-40.8,1.266,0
11.0,0.0,93.075,-47.1,1.415,1
6.0,0.0,93.444,-36.1,4.964,0
3.0,1.0,92.893,-46.2,1.313,0
1.0,0.0,93.2,-42.0,4.12,0
3.0,0.0,93.994,-36.4,4.86,0
6.0,0.0,93.444,-36.1,4.966,0
0.0,0.0,93.918,-42.7,4.963,0
7.0,0.0,92.963,-40.8,1.26,0
4.0,0.0,93.075,-47.1,1.445,0
4.0,0.0,92.893,-46.2,1.291,0
3.0,0.0,92.893,-46.2,1.27,0
4.0,1.0,93.2,-42.0,4.021,0
3.0,0.0,92.893,-46.2,1.313,0
2.0,0.0,93.444,-36.1,4.965,0
6.0,0.0,92.893,-46.2,1.266,0
3.0,0.0,93.444,-36.1,4.963,0
3.0,1.0,93.994,-36.4,4.855,0
4.0,0.0,93.994,-36.4,4.86,0
2.0,0.0,93.994,-36.4,4.855,0
11.0,1.0,94.465,-41.8,4.96,0
5.0,0.0,92.893,-46.2,1.266,0
5.0,0.0,93.994,-36.4,4.86,0
3.0,0.0,93.2,-42.0,4.153,0
2.0,0.0,92.649,-30.1,0.714,0
8.0,0.0,92.843,-50.0,1.64,1
3.0,0.0,93.444,-36.1,4.968,0
2.0,0.0,93.2,-42.0,4.286,0
4.0,0.0,93.2,-42.0,4.021,0
5.0,0.0,93.994,-36.4,4.856,0
6.0,0.0,92.893,-46.2,1.327,0
8.0,0.0,93.444,-36.1,4.964,0
2.0,1.0,93.444,-36.1,4.964,0
5.0,0.0,93.918,-42.7,4.961,0
4.0,0.0,94.055,-39.8,0.767,1
1.0,0.0,92.893,-46.2,1.299,0
2.0,0.0,92.893,-46.2,1.25,0
4.0,0.0,93.994,-36.4,4.857,0
4.0,0.0,93.2,-42.0,4.021,0
2.0,1.0,93.444,-36.1,4.963,0
3.0,0.0,94.465,-41.8,4.967,0
4.0,0.0,93.994,-36.4,4.858,1
4.0,0.0,93.876,-40.0,0.682,1
2.0,0.0,92.963,-40.8,1.26,1
1.0,0.0,93.994,-36.4,4.856,0
2.0,0.0,93.994,-36.4,4.86,0
3.0,0.0,94.215,-40.3,0.827,0
5.0,0.0,94.601,-49.5,0.965,0
4.0,0.0,92.893,-46.2,1.299,0
4.0,0.0,93.444,-36.1,4.964,0
2.0,0.0,92.893,-46.2,1.266,0
3.0,1.0,94.465,-41.8,4.961,0
4.0,0.0,93.2,-42.0,4.076,0
10.0,0.0,93.994,-36.4,4.86,0
2.0,0.0,93.2,-42.0,4.12,0
4.0,0.0,93.994,-36.4,4.856,0
1.0,0.0,93.075,-47.1,1.405,0
3.0,1.0,93.444,-36.1,4.966,0
2.0,0.0,93.918,-42.7,4.961,0
4.0,1.0,93.918,-42.7,4.963,0
6.0,1.0,94.465,-41.8,4.961,0
11.0,1.0,93.075,-47.1,1.405,0
4.0,0.0,94.199,-37.5,0.883,0
8.0,0.0,93.918,-42.7,4.963,0
2.0,0.0,93.444,-36.1,4.966,0
2.0,0.0,93.075,-47.1,1.4,1
6.0,0.0,93.2,-42.0,4.12,0
2.0,0.0,93.994,-36.4,4.864,0
3.0,1.0,93.994,-36.4,4.864,0
6.0,0.0,92.893,-46.2,1.291,0
2.0,0.0,94.465,-41.8,4.961,0
2.0,0.0,93.994,-36.4,4.855,0
3.0,1.0,93.444,-36.1,4.965,0
4.0,1.0,93.444,-36.1,4.963,0
4.0,0.0,93.2,-42.0,4.021,0
3.0,1.0,93.994,-36.4,4.857,0
10.0,0.0,94.199,-37.5,0.882,1
2.0,0.0,94.601,-49.5,0.977,0
2.0,0.0,92.649,-30.1,0.722,0
6.0,0.0,93.075,-47.1,1.365,1
2.0,0.0,93.918,-42.7,4.968,0
4.0,0.0,93.918,-42.7,4.968,0
4.0,0.0,94.465,-41.8,4.967,0
2.0,0.0,93.994,-36.4,4.857,0
3.0,1.0,93.994,-36.4,4.856,0
3.0,0.0,93.994,-36.4,4.857,0
7.0,0.0,92.893,-46.2,1.244,0
4.0,1.0,93.444,-36.1,4.966,1
4.0,1.0,93.2,-42.0,4.12,0
4.0,0.0,93.444,-36.1,4.968,0
4.0,0.0,93.918,-42.7,4.963,0
6.0,0.0,93.994,-36.4,4.858,0
2.0,0.0,93.2,-42.0,4.191,0
10.0,0.0,93.918,-42.7,4.963,0
1.0,1.0,93.994,-36.4,4.857,0
6.0,0.0,93.444,-36.1,4.965,0
3.0,1.0,94.465,-41.8,4.962,0
3.0,0.0,93.918,-42.7,4.962,0
6.0,0.0,93.444,-36.1,4.964,0
4.0,0.0,93.444,-36.1,4.963,0
2.0,0.0,93.918,-42.7,4.963,0
8.0,0.0,93.2,-42.0,4.076,0
8.0,0.0,93.444,-36.1,4.963,0
3.0,0.0,94.215,-40.3,0.899,1
10.0,0.0,93.798,-40.4,5.0,0
4.0,0.0,93.918,-42.7,4.958,0
2.0,0.0,93.918,-42.7,4.96,0
3.0,1.0,93.994,-36.4,4.858,0
2.0,0.0,92.893,-46.2,1.266,0
5.0,0.0,93.075,-47.1,1.405,0
6.0,1.0,93.918,-42.7,4.968,0
3.0,0.0,93.994,-36.4,4.857,0
6.0,0.0,93.918,-42.7,4.957,0
3.0,1.0,94.465,-41.8,4.961,0
3.0,0.0,93.994,-36.4,4.86,0
11.0,0.0,93.798,-40.4,4.968,1
0.0,1.0,93.918,-42.7,4.962,0
2.0,0.0,93.2,-42.0,4.12,0
6.0,0.0,93.994,-36.4,4.857,0
3.0,0.0,92.431,-26.9,0.735,1
3.0,1.0,94.465,-41.8,4.958,0
7.0,1.0,93.918,-42.7,4.961,0
6.0,0.0,93.994,-36.4,4.857,0
2.0,0.0,94.465,-41.8,4.959,0
2.0,0.0,92.963,-40.8,1.26,1
5.0,1.0,94.465,-41.8,4.959,0
3.0,0.0,92.893,-46.2,1.327,0
5.0,0.0,92.379,-29.8,0.803,1
1.0,0.0,93.994,-36.4,4.857,0
2.0,0.0,93.918,-42.7,4.968,0
1.0,0.0,94.055,-39.8,0.72,0
2.0,0.0,92.893,-46.2,1.266,0
4.0,0.0,93.444,-36.1,4.964,0
3.0,0.0,93.994,-36.4,4.857,0
2.0,0.0,93.918,-42.7,4.96,0
1.0,0.0,93.918,-42.7,4.957,0
1.0,0.0,92.963,-40.8,1.262,0
3.0,0.0,93.918,-42.7,4.961,0
7.0,1.0,93.994,-36.4,4.86,0
3.0,0.0,92.893,-46.2,1.25,0
2.0,0.0,93.918,-42.7,4.96,0
6.0,0.0,93.075,-47.1,1.415,0
1.0,0.0,92.893,-46.2,1.313,0
8.0,0.0,94.027,-38.3,0.891,0
2.0,0.0,93.994,-36.4,4.859,0
3.0,1.0,94.465,-41.8,4.865,0
4.0,0.0,92.893,-46.2,1.291,0
1.0,1.0,93.994,-36.4,4.859,0
2.0,0.0,93.918,-42.7,4.957,0
2.0,0.0,93.994,-36.4,4.856,0
